SessionID,LoggingTime,UID,RecNo,Hertz,Activity,MoveType,Wrist,Side,TimeStamp,DMRoll,DMPitch,DMYaw,DMRotX,DMRotY,DMRotZ,DMGrvX,DMGrvY,DMGrvZ,DMUAccelX,DMUAccelY,DMUAccelZ,DMQuatX,DMQuatY,DMQuatW,DMQuatZ,AccelroX,AceelroY,AceelroZ
20230427-1427,2023-04-27 14:27:21,u02, 434,100,misc,misc2, lt, d,15547.623109375001, -0.9527205502510839, -0.29606110253571416, 0.3421008141742466, -0.172734335064888, -0.16309066116809845, 0.12148940563201904, -0.7795370817184448, 0.29175496101379395, -0.5542571544647217, 0.032604098320007324, -0.01074904203414917, -0.14914250373840332, -0.05195836020208211, -0.46922463470956804, 0.8546118098338655,0.21625728907427835,-0.7530059814453125,0.2458953857421875,-0.5814208984375
20230427-1427,2023-04-27 14:27:21,u02, 435,100,misc,misc2, lt, d,15547.633132375, -0.9545155940058893, -0.2981913956566664, 0.3411738264412966, -0.20617012679576874, -0.13767345249652863, 0.12978528439998627, -0.7800217866897583, 0.29379189014434814, -0.5524964332580566, 0.07778185606002808, -0.010604023933410645, -0.07955306768417358, -0.05291649310913845, -0.4700549093440514, 0.854070348170388,0.21636098157735575,-0.7447662353515625,0.2868804931640625,-0.6857147216796875
20230427-1427,2023-04-27 14:27:21,u02, 436,100,misc,misc2, lt, d,15547.643155375, -0.9559449468570143, -0.30024311243311746, 0.34053739828655083, -0.11604049056768417, -0.10637865215539932, 0.12270020693540573, -0.7803167104721069, 0.29575246572494507, -0.5510321259498596, 0.08819329738616943, -0.008170008659362793, -0.10625553131103516, -0.05381122905094691, -0.4707316659359182, 0.8535901454806979,0.21656391229879204,-0.7250213623046875,0.2706451416015625,-0.6735076904296875
20230427-1427,2023-04-27 14:27:21,u02, 437,100,misc,misc2, lt, d,15547.653178375002, -0.9572679034531899, -0.30203865838998795, 0.33984152125779327, -0.2385721504688263, -0.11994559317827225, 0.09661057591438293, -0.7806095480918884, 0.2974672019481659, -0.549692690372467, 0.04986613988876343, -0.038266122341156006, 0.035639286041259766, -0.05461895623164541, -0.47134959123798653, 0.853166961863463,0.2166852606345332,-0.686431884765625,0.2940826416015625,-0.6351470947265625
20230427-1427,2023-04-27 14:27:21,u02, 438,100,misc,misc2, lt, d,15547.663201375, -0.9593130802707603, -0.3043893470687075, 0.33748824113514697, -0.3496541976928711, -0.13970331847667694, 0.014060843735933304, -0.7811574339866638, 0.2997106611728668, -0.547692060470581, -0.01992899179458618, -0.037289977073669434, 0.11188584566116333, -0.05598281068159068, -0.47224981142226585, 0.8526936468776343,0.21623965841137036,-0.717193603515625,0.2712249755859375,-0.6155548095703125
20230427-1427,2023-04-27 14:27:21,u02, 439,100,misc,misc2, lt, d,15547.673224375001, -0.961736696974695, -0.30606103539688523, 0.334270764733882, -0.3751407861709595, -0.15382446348667145, -0.08875762671232224, -0.7820704579353333, 0.3013050854206085, -0.5455098152160645, -0.14471781253814697, -0.08051037788391113, 0.04795128107070923, -0.05721405053051909, -0.47325641990207157, 0.8522929028069235,0.21529429330403188,-0.7417449951171875,0.259368896484375,-0.4370880126953125
20230427-1427,2023-04-27 14:27:21,u02, 440,100,misc,misc2, lt, d,15547.683247375, -0.9641613310989048, -0.30714525765629874, 0.3305631558208148, -0.2902922034263611, -0.10170773416757584, -0.14607657492160797, -0.7831220626831055, 0.30233871936798096, -0.5434255003929138, -0.03935724496841431, -0.08482462167739868, -0.01786905527114868, -0.058306704018151884, -0.4742231266073651, 0.8520033112939965,0.2140171039186993,-0.8935394287109375,0.247711181640625,-0.473968505859375
20230427-1427,2023-04-27 14:27:21,u02, 441,100,misc,misc2, lt, d,15547.693270375, -0.9657826251133361, -0.30685922866300835, 0.32757935811811156, -0.17735591530799866, -0.04479890689253807, -0.21500270068645477, -0.7840731739997864, 0.3020660877227783, -0.5422042608261108, -0.05357331037521362, -0.09616392850875854, -0.10130465030670166, -0.05871649583753735, -0.47481599953856746, 0.851966803785253,0.21273194709699608,-0.8794403076171875,0.21588134765625,-0.5139312744140625
20230427-1427,2023-04-27 14:27:21,u02, 442,100,misc,misc2, lt, d,15547.703293375002, -0.9670135940901017, -0.3061755013747232, 0.3242412457322684, -0.25907474756240845, -0.0010628775926306844, -0.26011931896209717, -0.7849099040031433, 0.30141422152519226, -0.5413558483123779, -0.019670844078063965, -0.04869812726974487, -0.01110386848449707, -0.05907971900375423, -0.47521749385949724, 0.8520993088837012,0.21119870691993728,-0.8187255859375,0.208648681640625,-0.6284027099609375
20230427-1427,2023-04-27 14:27:21,u02, 443,100,misc,misc2, lt, d,15547.713316375, -0.9680657801416288, -0.3054425152863606, 0.3202560389576767, -0.2884608805179596, 0.030448177829384804, -0.28362104296684265, -0.7856607437133789, 0.30071523785591125, -0.540654718875885, -0.03571981191635132, -0.043970853090286255, -0.008890509605407715, -0.05959563485662246, -0.475521824067149, 0.8523438867684295,0.20937344773349953,-0.82733154296875,0.2225341796875,-0.5989990234375
20230427-1427,2023-04-27 14:27:21,u02, 444,100,misc,misc2, lt, d,15547.723339375001, -0.968877963510111, -0.30482023707055544, 0.3159469246737895, -0.311930775642395, 0.07496317476034164, -0.27696579694747925, -0.7862537503242493, 0.3001216948032379, -0.5401223301887512, -0.027054965496063232, -0.030605673789978027, -0.02265232801437378, -0.060263545500208265, -0.4757174995227093, 0.852663868167613,0.20742626517040713,-0.8106689453125,0.265594482421875,-0.53912353515625
20230427-1427,2023-04-27 14:27:21,u02, 445,100,misc,misc2, lt, d,15547.733362375, -0.9689851971344771, -0.3044600727344, 0.31168046274180317, -0.30849218368530273, 0.16587524116039276, -0.24060063064098358, -0.7864006757736206, 0.29977813363075256, -0.5400991439819336, 0.0064781904220581055, -0.010532468557357788, -0.026474952697753906, -0.06110961331895239, -0.47562174473331575, 0.853115582840973,0.20553202085881128,-0.819091796875,0.2563018798828125,-0.5611114501953125
20230427-1427,2023-04-27 14:27:21,u02, 446,100,misc,misc2, lt, d,15547.743385375, -0.9679732210628921, -0.3042356828100772, 0.3079005066624187, -0.2596844434738159, 0.25946804881095886, -0.21166113018989563, -0.785909116268158, 0.29956403374671936, -0.540932834148407, 0.02548736333847046, 0.014889121055603027, -0.05094033479690552, -0.062013381209746345, -0.47506623342947474, 0.853765839977844,0.20383919053787797,-0.801239013671875,0.2785797119140625,-0.5632171630859375
20230427-1427,2023-04-27 14:27:21,u02, 447,100,misc,misc2, lt, d,15547.753408375002, -0.9660145616595971, -0.3039341978393253, 0.30455426855138146, -0.2218625694513321, 0.3260580003261566, -0.20285557210445404, -0.7849223613739014, 0.2992763817310333, -0.5425224304199219, -0.002980470657348633, 0.020975112915039062, -0.053043365478515625, -0.062874295210327, -0.4741155937559369, 0.8546009316115728,0.20228350712980503,-0.7622833251953125,0.30206298828125,-0.5786590576171875
20230427-1427,2023-04-27 14:27:21,u02, 448,100,misc,misc2, lt, d,15547.763431375, -0.9634112162312708, -0.30327880197393153, 0.3017548768296017, -0.14556992053985596, 0.35636794567108154, -0.20764820277690887, -0.7836681604385376, 0.29865097999572754, -0.5446758270263672, -0.021766960620880127, -0.02178025245666504, -0.05377382040023804, -0.0635122768476812, -0.4728935280844946, 0.8555653537885546,0.20086251260690735,-0.7725677490234375,0.3212890625,-0.5979766845703125
20230427-1427,2023-04-27 14:27:21,u02, 449,100,misc,misc2, lt, d,15547.773454375001, -0.9605676892929805, -0.30238421950604244, 0.2992960002077032, -0.139443501830101, 0.3558121621608734, -0.20395122468471527, -0.7823348641395569, 0.2977970838546753, -0.5470548868179321, -0.020674169063568115, -0.038733333349227905, -0.02443253993988037, -0.06398523146665397, -0.47157019631291686, 0.8565726899262659,0.19952606659488792,-0.798248291015625,0.3020477294921875,-0.594635009765625
20230427-1427,2023-04-27 14:27:21,u02, 450,100,misc,misc2, lt, d,15547.783477375, -0.9578257936980086, -0.30158023638411346, 0.2966187798992124, -0.18900679051876068, 0.35142990946769714, -0.21865986287593842, -0.7810275554656982, 0.2970294952392578, -0.5493354797363281, -0.012337923049926758, -0.019700974225997925, 0.042972564697265625, -0.06453538003855284, -0.47028442951995536, 0.8575647605448851,0.19811729602119243,-0.8079833984375,0.2599639892578125,-0.5933074951171875
20230427-1427,2023-04-27 14:27:21,u02, 451,100,misc,misc2, lt, d,15547.793500375, -0.9553293217170474, -0.30088591303325124, 0.29356139474216286, -0.20777243375778198, 0.3255655765533447, -0.23026999831199646, -0.7798219323158264, 0.296366423368454, -0.5514025092124939, -0.016198575496673584, -0.020273864269256592, 0.03260374069213867, -0.06519479875563192, -0.4690931392497288, 0.8585217320831267,0.1965751756923508,-0.7948455810546875,0.267974853515625,-0.5389556884765625
20230427-1427,2023-04-27 14:27:21,u02, 452,100,misc,misc2, lt, d,15547.803523375002, -0.9530994559600108, -0.30022213743835835, 0.2903221881626473, -0.21520930528640747, 0.30457746982574463, -0.23842379450798035, -0.7787505984306335, 0.29573240876197815, -0.5532538294792175, -0.01429438591003418, -0.02874937653541565, 0.004212141036987305, -0.06588021135139518, -0.46800948919240154, 0.8594267069741266,0.1949682574714078,-0.791717529296875,0.283111572265625,-0.49908447265625
20230427-1427,2023-04-27 14:27:21,u02, 453,100,misc,misc2, lt, d,15547.813546375, -0.9511762462608625, -0.2995286024336771, 0.2870716321658266, -0.21452514827251434, 0.2715795636177063, -0.22658497095108032, -0.777851939201355, 0.2950698435306549, -0.5548694729804993, -0.007426321506500244, -0.011622518301010132, 0.002211451530456543, -0.06652179732691195, -0.4670547086528949, 0.8602600651902322,0.1933582252690723,-0.7966766357421875,0.2660064697265625,-0.537200927734375
20230427-1427,2023-04-27 14:27:21,u02, 454,100,misc,misc2, lt, d,15547.823568375, -0.9494739531662043, -0.2990679596196964, 0.2838428321014835, -0.2319592535495758, 0.25728026032447815, -0.20785176753997803, -0.7770166993141174, 0.29462966322898865, -0.5562718510627747, 0.03716385364532471, 0.0061363279819488525, 0.024167418479919434, -0.06723634346565587, -0.46620096763633473, 0.8610131248280586,0.19181311310285254,-0.7931671142578125,0.2739410400390625,-0.55145263671875
