SessionID,LoggingTime,UID,RecNo,Hertz,Activity,MoveType,Wrist,Side,TimeStamp,DMRoll,DMPitch,DMYaw,DMRotX,DMRotY,DMRotZ,DMGrvX,DMGrvY,DMGrvZ,DMUAccelX,DMUAccelY,DMUAccelZ,DMQuatX,DMQuatY,DMQuatW,DMQuatZ,AccelroX,AceelroY,AceelroZ
20230215-1528,2023-02-15 15:28:48Z,u01, 1,100,movements,el-ex, lt, nd,281049.690840375, -1.0773850732890855, -0.14334543764531732, -0.08576533172938777, 0.25764307379722595, 0.20894266664981842, -0.11191847920417786, -0.8716892600059509, 0.14285503327846527, -0.4687752425670624, -0.005019664764404297, 0.052381157875061035, -0.04445412755012512, -0.08334947969992589, -0.5085914343660847, 0.8569641584490459,4.472333961502706e-18,-0.86517333984375,0.1964569091796875,-0.5115203857421875
20230215-1528,2023-02-15 15:28:48Z,u01, 2,100,movements,el-ex, lt, nd,281049.70086337504, -1.0750242888667865, -0.1411369267310509, -0.08382195337896772, 0.2915073037147522, 0.2009100317955017, -0.09581327438354492, -0.8708555102348328, 0.1406688243150711, -0.470980703830719, 0.012335062026977539, 0.060731932520866394, -0.03408518433570862, -0.08191255022258404, -0.5077400719734737, 0.8576072365197426,0.00016862524206663382,-0.876708984375,0.1952362060546875,-0.5132293701171875
20230215-1528,2023-02-15 15:28:48Z,u01, 3,100,movements,el-ex, lt, nd,281049.71088537504, -1.0728262741340666, -0.13897036886075692, -0.08164697537981361, 0.2840477228164673, 0.16805462539196014, -0.08166906982660294, -0.8700839877128601, 0.13852348923683167, -0.4730382263660431, 0.020474612712860107, 0.08510933816432953, -0.01966804265975952, -0.08043500174088415, -0.50696262019649, 0.8582068057372697,0.00045738264219698677,-0.8585205078125,0.2014007568359375,-0.50506591796875
20230215-1528,2023-02-15 15:28:49Z,u01, 4,100,movements,el-ex, lt, nd,281049.720908375, -1.0711596141006698, -0.13690703879950553, -0.0796117857005101, 0.2731782793998718, 0.10916493833065033, -0.08778182417154312, -0.8695433735847473, 0.13647975027561188, -0.4746236205101013, 0.01233518123626709, 0.08808384835720062, -0.006470739841461182, -0.07903720881566473, -0.5064003395000376, 0.8586683304023853,0.0007368242902494569,-0.849609375,0.2236328125,-0.492706298828125
20230215-1528,2023-02-15 15:28:49Z,u01, 5,100,movements,el-ex, lt, nd,281049.730930375, -1.0699714905492232, -0.13481474670904398, -0.07763973423075993, 0.264870822429657, 0.07559925317764282, -0.09922616928815842, -0.869227409362793, 0.13440674543380737, -0.47579246759414673, 0.013453543186187744, 0.08629637956619263, 0.014763414859771729, -0.07764295915586514, -0.5060388667742434, 0.8590082613083383,0.0010027434040129379,-0.857208251953125,0.2245635986328125,-0.4810943603515625
20230215-1528,2023-02-15 15:28:49Z,u01, 6,100,movements,el-ex, lt, nd,281049.740953375, -1.0689343254136565, -0.1325893520992292, -0.07577419967798102, 0.277121365070343, 0.08659677952528, -0.10905909538269043, -0.8689935207366943, 0.1322012096643448, -0.4768364429473877, 0.03375798463821411, 0.051438331604003906, 0.024947404861450195, -0.07621857321055615, -0.5057395623287658, 0.8593117722519368,0.0011964395135059581,-0.85577392578125,0.220703125,-0.461029052734375
20230215-1528,2023-02-15 15:28:49Z,u01, 7,100,movements,el-ex, lt, nd,281049.750975375, -1.0678323043924856, -0.1301673843129508, -0.0737384665845579, 0.3001648783683777, 0.0753457173705101, -0.12215157598257065, -0.8687455058097839, 0.12980011105537415, -0.47794675827026367, 0.03840804100036621, 0.013190016150474548, 0.015773296356201172, -0.0746668937138196, -0.5054220811547092, 0.8596344167555667,0.0014123338742092373,-0.835235595703125,0.1836395263671875,-0.4518890380859375
20230215-1528,2023-02-15 15:28:49Z,u01, 8,100,movements,el-ex, lt, nd,281049.760998375, -1.0669294104324036, -0.12763659000479327, -0.07166358400526351, 0.30651649832725525, 0.05273468419909477, -0.12002796679735184, -0.8685985207557678, 0.12729030847549438, -0.47888803482055664, 0.0655437707901001, 0.025389134883880615, 0.053320348262786865, -0.07305841282626406, -0.5051915047509327, 0.8599077681810657,0.0016264347340234845,-0.8303375244140625,0.1429901123046875,-0.4621734619140625
20230215-1528,2023-02-15 15:28:49Z,u01, 9,100,movements,el-ex, lt, nd,281049.771020375, -1.06620138704785, -0.12509924186221774, -0.06943730075346247, 0.3263189494609833, 0.03708488494157791, -0.10625630617141724, -0.8685296177864075, 0.12477319687604904, -0.4796748757362366, 0.08183223009109497, 0.0034464076161384583, 0.05743366479873657, -0.07140857539358442, -0.5050379980247137, 0.8601359407909082,0.0019117729452503682,-0.8030548095703125,0.152679443359375,-0.425567626953125
20230215-1528,2023-02-15 15:28:49Z,u01, 10,100,movements,el-ex, lt, nd,281049.781042375, -1.0656576158075044, -0.12268675426315612, -0.06696486623321457, 0.33098480105400085, 0.00888200756162405, -0.07552928477525711, -0.8685294985771179, 0.12237920612096786, -0.48029130697250366, 0.0942070484161377, 0.024425603449344635, 0.049795061349868774, -0.06974981385806402, -0.5049646597323493, 0.8603139293600588,0.002342472809091693,-0.7866973876953125,0.1282196044921875,-0.4222412109375
20230215-1528,2023-02-15 15:28:49Z,u01, 11,100,movements,el-ex, lt, nd,281049.79106537503, -1.0652958474420031, -0.12044064582111129, -0.06413357634436846, 0.3672446608543396, -0.010413926094770432, -0.04746430739760399, -0.8685939908027649, 0.12014967203140259, -0.4807373583316803, 0.11488616466522217, 0.06649583578109741, 0.07010814547538757, -0.0680714590173866, -0.5049728610056674, 0.860441556310029,0.0029770395469504384,-0.774322509765625,0.1468048095703125,-0.4304962158203125
