SessionID,LoggingTime,UID,RecNo,Hertz,Activity,MoveType,Wrist,Side,TimeStamp,DMRoll,DMPitch,DMYaw,DMRotX,DMRotY,DMRotZ,DMGrvX,DMGrvY,DMGrvZ,DMUAccelX,DMUAccelY,DMUAccelZ,DMQuatX,DMQuatY,DMQuatW,DMQuatZ,AccelroX,AceelroY,AceelroZ
20230421-1506,2023-04-21 15:07:21,u01, 2745,100,misc,misc1, lt, d,957472.291044875, -1.0102586484655376, -0.3114270663962447, -0.32257633085686926, 0.5236645340919495, -0.3808686137199402, -0.23609347641468048, -0.8062278628349304, 0.3064173758029938, -0.5060682892799377, 0.2752068042755127, -0.14424654841423035, 0.0657607913017273, -0.21072779474477668, -0.45006629090547895, 0.8653556755947235,-0.06475892436822767,-0.5131988525390625,0.150848388671875,-0.43621826171875
20230421-1506,2023-04-21 15:07:21,u01, 2746,100,misc,misc1, lt, d,957472.3010668751, -1.0128233926005643, -0.30662303679109343, -0.3189548735887414, 0.5559059381484985, -0.38364946842193604, -0.22922194004058838, -0.8087625503540039, 0.3018409013748169, -0.5047723650932312, 0.25946152210235596, -0.12425872683525085, 0.0955166220664978, -0.20797267494728713, -0.4520632437409255, 0.8650294538765854,-0.06411057740373816,-0.5310211181640625,0.16217041015625,-0.4403076171875
20230421-1506,2023-04-21 15:07:21,u01, 2747,100,misc,misc1, lt, d,957472.311088875, -1.0155269241015348, -0.3019024811266394, -0.3152966703424267, 0.5275499224662781, -0.392052561044693, -0.21295881271362305, -0.8113260269165039, 0.2973371744155884, -0.5033295750617981, 0.24980264902114868, -0.09361666440963745, 0.13612699508666992, -0.2052436953688169, -0.4541037654087926, 0.86466353914368,-0.06341755347475982,-0.5493011474609375,0.177581787109375,-0.4092559814453125
20230421-1506,2023-04-21 15:07:21,u01, 2748,100,misc,misc1, lt, d,957472.3211108751, -1.0183756311113494, -0.29758358449853095, -0.3118194743735634, 0.4771391749382019, -0.38893505930900574, -0.17762459814548492, -0.8138421773910522, 0.29321086406707764, -0.5016855001449585, 0.24719184637069702, -0.07391113042831421, 0.16754865646362305, -0.20272450854117566, -0.4561359549279346, 0.8642408235863209,-0.06269483429380927,-0.5615234375,0.2037200927734375,-0.3672027587890625
20230421-1506,2023-04-21 15:07:21,u01, 2749,100,misc,misc1, lt, d,957472.331132875, -1.021391162566711, -0.29395922119903783, -0.30891386339333243, 0.3741872310638428, -0.3872828185558319, -0.15057754516601562, -0.8162522315979004, 0.2897438704967499, -0.49978071451187134, 0.26022201776504517, -0.06441691517829895, 0.1968633532524109, -0.2006290307864752, -0.4581022165956593, 0.8637371595629809,-0.062035963641302164,-0.566650390625,0.21929931640625,-0.334136962890625
20230421-1506,2023-04-21 15:07:21,u01, 2750,100,misc,misc1, lt, d,957472.341154875, -1.0244860812310879, -0.2910856506643568, -0.30661564562271454, 0.3038211762905121, -0.36651870608329773, -0.11160241067409515, -0.818503201007843, 0.2869923710823059, -0.4976826012134552, 0.2639836072921753, -0.06880652904510498, 0.20025843381881714, -0.19898791022781184, -0.45995924511161035, 0.8631716197992985,-0.06145007378463326,-0.5560302734375,0.2253265380859375,-0.30291748046875
20230421-1506,2023-04-21 15:07:21,u01, 2751,100,misc,misc1, lt, d,957472.3511768751, -1.0273269304220487, -0.2887938463952955, -0.30451193704248847, 0.28596654534339905, -0.3196941912174225, -0.07093940675258636, -0.8204745054244995, 0.28479623794555664, -0.49569419026374817, 0.27346229553222656, -0.0792447030544281, 0.18888583779335022, -0.19762599179970008, -0.4616241746310679, 0.8626392823550816,-0.06083266701598661,-0.5545196533203125,0.2181854248046875,-0.29742431640625
20230421-1506,2023-04-21 15:07:21,u01, 2752,100,misc,misc1, lt, d,957472.361198875, -1.0295430492712174, -0.2868317153455847, -0.3022059004166936, 0.29413145780563354, -0.2602998614311218, -0.04183909669518471, -0.8220483064651489, 0.28291481733322144, -0.49416160583496094, 0.281292200088501, -0.09011957049369812, 0.1836453676223755, -0.19633475582826962, -0.4630030854046929, 0.862245593923501,-0.06011056127647503,-0.5470123291015625,0.2055511474609375,-0.3068084716796875
20230421-1506,2023-04-21 15:07:21,u01, 2753,100,misc,misc1, lt, d,957472.3712208751, -1.0310345968056336, -0.2850200408826708, -0.2996456355330801, 0.31232377886772156, -0.1846921741962433, -0.01831752434372902, -0.8232228755950928, 0.28117668628692627, -0.49319759011268616, 0.27093106508255005, -0.09140270948410034, 0.16853642463684082, -0.19502398907162477, -0.4640763451449623, 0.8620212483768642,-0.059314552353776376,-0.5407562255859375,0.1927947998046875,-0.310516357421875
20230421-1506,2023-04-21 15:07:21,u01, 2754,100,misc,misc1, lt, d,957472.381242875, -1.0316891593072561, -0.28324697661390613, -0.2967161987142572, 0.34965330362319946, -0.1115572452545166, -0.0014501800760626793, -0.8239720463752747, 0.2794747054576874, -0.49291378259658813, 0.25382745265960693, -0.10819438099861145, 0.15616768598556519, -0.19361715700754686, -0.46481770431165703, 0.8619992080970936,-0.05843254323055958,-0.5522918701171875,0.1897735595703125,-0.3246612548828125
20230421-1506,2023-04-21 15:07:21,u01, 2755,100,misc,misc1, lt, d,957472.3912648751, -1.0315541911624428, -0.2814637828985769, -0.29338671835479485, 0.3830757141113281, -0.0489409975707531, 0.024954263120889664, -0.8243317604064941, 0.27776211500167847, -0.4932800829410553, 0.2440248727798462, -0.11241745948791504, 0.15488606691360474, -0.19208866170670724, -0.46525467255774544, 0.8621708906338179,-0.05745710869050604,-0.5701446533203125,0.1712799072265625,-0.3367462158203125
20230421-1506,2023-04-21 15:07:21,u01, 2756,100,misc,misc1, lt, d,957472.401285875, -1.0307337350838732, -0.27977491837677765, -0.28966076018723974, 0.3993062376976013, 0.003079858608543873, 0.05252080410718918, -0.8243280053138733, 0.2761393189430237, -0.4941967725753784, 0.22969305515289307, -0.10885679721832275, 0.15130138397216797, -0.19048711349473577, -0.465420535063137, 0.8625096557013134,-0.05635185789245133,-0.5803070068359375,0.16534423828125,-0.3383941650390625
20230421-1506,2023-04-21 15:07:21,u01, 2757,100,misc,misc1, lt, d,957472.4113078751, -1.0294377160679085, -0.27825707030882907, -0.2857517524481083, 0.39941781759262085, 0.03355254605412483, 0.07309212535619736, -0.8240450620651245, 0.27468016743659973, -0.49548009037971497, 0.2071475386619568, -0.09934103488922119, 0.1551940143108368, -0.18890152212253183, -0.46537745214770665, 0.8629579805698491,-0.05516809450159188,-0.594635009765625,0.1672821044921875,-0.3428955078125
20230421-1506,2023-04-21 15:07:21,u01, 2758,100,misc,misc1, lt, d,957472.421329875, -1.0279520771875992, -0.27703125435495674, -0.28192183812857163, 0.351847767829895, 0.04786490648984909, 0.09415940940380096, -0.8235957622528076, 0.27350130677223206, -0.49687737226486206, 0.1735256314277649, -0.08603140711784363, 0.1633203625679016, -0.1874526984814662, -0.46521264526440803, 0.8634390302816938,-0.053960965084143005,-0.6168975830078125,0.1753387451171875,-0.3402862548828125
20230421-1506,2023-04-21 15:07:21,u01, 2759,100,misc,misc1, lt, d,957472.4313518751, -1.0265108147154058, -0.2762114186092291, -0.2784387675824454, 0.30180832743644714, 0.04636101797223091, 0.11344549059867859, -0.8230702877044678, 0.2727126479148865, -0.49817976355552673, 0.13940030336380005, -0.07085373997688293, 0.17267945408821106, -0.1862579797827088, -0.4649925639354518, 0.8638879495642562,-0.05279591017578132,-0.6500701904296875,0.187469482421875,-0.33355712890625
20230421-1506,2023-04-21 15:07:21,u01, 2760,100,misc,misc1, lt, d,957472.441373875, -1.0252720401677895, -0.27583646005764517, -0.27543883754948545, 0.23219329118728638, 0.02914608083665371, 0.12099642306566238, -0.8225399255752563, 0.27235186100006104, -0.4992520213127136, 0.10230988264083862, -0.06272619962692261, 0.16976910829544067, -0.18536979273400142, -0.4647709374354376, 0.8642640255204496,-0.051708283137332896,-0.6836700439453125,0.2018585205078125,-0.32550048828125
20230421-1506,2023-04-21 15:07:21,u01, 2761,100,misc,misc1, lt, d,957472.4513958751, -1.0244243332875556, -0.2758576637709072, -0.2729683098527292, 0.17541922628879547, 0.0004755533882416785, 0.12789028882980347, -0.8221114873886108, 0.2723722755908966, -0.49994614720344543, 0.060865819454193115, -0.05148562788963318, 0.1493145227432251, -0.18478301820665344, -0.464631212694885, 0.8645237454750961,-0.05071370423132409,-0.7202301025390625,0.209625244140625,-0.3294830322265625
20230421-1506,2023-04-21 15:07:21,u01, 2762,100,misc,misc1, lt, d,957472.461417875, -1.024030218628612, -0.27616870169799795, -0.2708931487532034, 0.13053648173809052, -0.03595249727368355, 0.1338835209608078, -0.8218419551849365, 0.27267155051231384, -0.5002260208129883, 0.0182073712348938, -0.04864156246185303, 0.12637054920196533, -0.18442264790674126, -0.4646237916179289, 0.8646591850365264,-0.04977568357710951,-0.7612457275390625,0.22088623046875,-0.3506317138671875
20230421-1506,2023-04-21 15:07:21,u01, 2763,100,misc,misc1, lt, d,957472.4714398751, -1.0241548073521531, -0.27674065897157063, -0.2692192347305328, 0.08111486583948135, -0.0789545550942421, 0.12919501960277557, -0.8217709064483643, 0.27322179079055786, -0.5000424981117249, -0.013495206832885742, -0.044614166021347046, 0.11681807041168213, -0.18427886451399397, -0.46477958002399417, 0.8646561579598877,-0.04889837369751173,-0.8036346435546875,0.224029541015625,-0.3738555908203125
20230421-1506,2023-04-21 15:07:21,u01, 2764,100,misc,misc1, lt, d,957472.481461875, -1.024859061539854, -0.2775652044902265, -0.26812388093603073, 0.01219031773507595, -0.12303413450717926, 0.119110107421875, -0.8219299912452698, 0.2740148603916168, -0.49934643507003784, -0.043578922748565674, -0.035809487104415894, 0.11497765779495239, -0.1843902927509247, -0.46510966120913766, 0.8644965383906696,-0.04815496759918077,-0.83526611328125,0.228607177734375,-0.3832244873046875
20230421-1506,2023-04-21 15:07:21,u01, 2765,100,misc,misc1, lt, d,957472.4914838751, -1.0261408827137788, -0.2785623282924748, -0.26767958052720253, -0.04463088512420654, -0.15495266020298004, 0.09486255794763565, -0.8223353624343872, 0.27497369050979614, -0.49815070629119873, -0.08148843050003052, -0.017145514488220215, 0.09710407257080078, -0.18473945351801335, -0.46561355978821334, 0.8641816930253655,-0.04759658010426672,-0.865509033203125,0.2382049560546875,-0.384368896484375
20230421-1506,2023-04-21 15:07:21,u01, 2766,100,misc,misc1, lt, d,957472.501505875, -1.027788642038166, -0.2795880197879658, -0.26780188397536553, -0.08156708627939224, -0.16606523096561432, 0.06521712988615036, -0.8229131698608398, 0.27595970034599304, -0.49664899706840515, -0.11068052053451538, -0.0021708011627197266, 0.07295829057693481, -0.1852407487047459, -0.4662202936876203, 0.8637666354622904,-0.047241473414372376,-0.9038238525390625,0.2578277587890625,-0.4010467529296875
20230421-1506,2023-04-21 15:07:21,u01, 2767,100,misc,misc1, lt, d,957472.5115278751, -1.0295693450377297, -0.28040170502842876, -0.26822159574823573, -0.06450022011995316, -0.16399595141410828, 0.03427919000387192, -0.8236034512519836, 0.2767416834831238, -0.49506697058677673, -0.1212206482887268, -0.005852013826370239, 0.04517701268196106, -0.18572450923539907, -0.4668756962630136, 0.863318781486052,-0.04705452361679523,-0.93359375,0.2737884521484375,-0.4236907958984375
20230421-1506,2023-04-21 15:07:21,u01, 2768,100,misc,misc1, lt, d,957472.521549875, -1.0313283519957261, -0.28079818956099367, -0.26860117630496616, -0.030904725193977356, -0.16570596396923065, -0.0037977034226059914, -0.8243788480758667, 0.2771226763725281, -0.49356111884117126, -0.12372595071792603, -0.01706668734550476, -0.00038105249404907227, -0.18602196319207331, -0.467563121911332, 0.8628880268119922,-0.046955782652882104,-0.94482421875,0.2708892822265625,-0.44989013671875
20230421-1506,2023-04-21 15:07:21,u01, 2769,100,misc,misc1, lt, d,957472.5315718751, -1.0329797271549703, -0.2806759384226943, -0.268823957584173, 0.007506312802433968, -0.15146444737911224, -0.039233192801475525, -0.8252218961715698, 0.2770051956176758, -0.49221643805503845, -0.1294746994972229, -0.013470232486724854, -0.025666773319244385, -0.1860612409078866, -0.46826594685733497, 0.8624998239898716,-0.04692886134945947,-0.9481048583984375,0.2600555419921875,-0.4939422607421875
20230421-1506,2023-04-21 15:07:21,u01, 2770,100,misc,misc1, lt, d,957472.541593875, -1.0345193022742782, -0.28020206818094534, -0.2690023675078231, 0.012073291465640068, -0.1466105729341507, -0.05824139714241028, -0.826091468334198, 0.2765498459339142, -0.4910123944282532, -0.12581276893615723, -0.017104238271713257, -0.020401060581207275, -0.1859392572717368, -0.46895671517357246, 0.8621479138839376,-0.046981355060263304,-0.9546966552734375,0.2635345458984375,-0.51788330078125
20230421-1506,2023-04-21 15:07:21,u01, 2771,100,misc,misc1, lt, d,957472.5516158751, -1.0359452947045926, -0.27953100180071777, -0.26917538464818225, 0.02417895570397377, -0.134447380900383, -0.07313912361860275, -0.8269502520561218, 0.27590489387512207, -0.48992836475372314, -0.1198117733001709, -0.009974300861358643, -0.0004889965057373047, -0.18573038245198215, -0.4696169134817822, 0.8618274702712794,-0.04709179454071428,-0.951904296875,0.2594451904296875,-0.51141357421875
20230421-1506,2023-04-21 15:07:21,u01, 2772,100,misc,misc1, lt, d,957472.561637875, -1.0371824735239954, -0.27879562373018824, -0.2693073471621973, 0.030737124383449554, -0.1057177260518074, -0.06624369323253632, -0.8277302384376526, 0.27519798278808594, -0.48900797963142395, -0.11094462871551514, 0.0030006766319274902, -0.0015009641647338867, -0.1854805235254079, -0.47020526177073707, 0.8615535169436724,-0.04721854719195364,-0.9467620849609375,0.26593017578125,-0.49041748046875
20230421-1506,2023-04-21 15:07:21,u01, 2773,100,misc,misc1, lt, d,957472.5716598751, -1.0380276722771151, -0.2780927878238658, -0.2692509367887661, 0.04351843148469925, -0.07306817173957825, -0.051003485918045044, -0.8283095955848694, 0.27452221512794495, -0.4884062707424164, -0.08863669633865356, 0.013030052185058594, -0.006436079740524292, -0.18519099988783713, -0.47063908827189666, 0.8613747565830122,-0.04729260231809551,-0.9386749267578125,0.2781982421875,-0.490509033203125
20230421-1506,2023-04-21 15:07:21,u01, 2774,100,misc,misc1, lt, d,957472.581681875, -1.0386563269005333, -0.27753855434476926, -0.2690712268002562, 0.05081149935722351, -0.03458230197429657, -0.024742480367422104, -0.8287475109100342, 0.2739892303943634, -0.48796263337135315, -0.058123767375946045, 0.015882402658462524, -0.0036449432373046875, -0.1849299742956515, -0.47097727675311296, 0.8612458314845036,-0.047296454750723284,-0.9169464111328125,0.2875518798828125,-0.494842529296875
20230421-1506,2023-04-21 15:07:21,u01, 2775,100,misc,misc1, lt, d,957472.5917038751, -1.0388165886723115, -0.2770814184867661, -0.26862240866230674, 0.0722624659538269, 0.004185337107628584, 0.000817741034552455, -0.828933596611023, 0.27354955673217773, -0.48789331316947937, -0.032043516635894775, 0.005701959133148193, 0.008843719959259033, -0.1846353908888666, -0.47112962069170927, 0.8612308784584868,-0.04720340319252361,-0.886871337890625,0.2898712158203125,-0.491607666015625
20230421-1506,2023-04-21 15:07:21,u01, 2776,100,misc,misc1, lt, d,957472.601725875, -1.0385689438647536, -0.2766863071292462, -0.26802246636374216, 0.06025000661611557, 0.03954465687274933, 0.020535200834274292, -0.8289058208465576, 0.27316948771476746, -0.4881533682346344, -0.012006044387817383, 0.005853146314620972, 0.018701553344726562, -0.1843217053032729, -0.471114447336527, 0.8613137998090507,-0.04706729165854023,-0.8609771728515625,0.2792510986328125,-0.4790496826171875
20230421-1506,2023-04-21 15:07:21,u01, 2777,100,misc,misc1, lt, d,957472.6117478751, -1.0379157108057364, -0.27641393560837363, -0.2674125716807379, 0.05400116741657257, 0.07104266434907913, 0.03296337276697159, -0.828650712966919, 0.27290746569633484, -0.4887324869632721, -0.001091599464416504, 0.005520075559616089, 0.03389859199523926, -0.18404790978453997, -0.47091413866117937, 0.8614891081743999,-0.046933255316044885,-0.840911865234375,0.279022216796875,-0.469451904296875
